Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Company,Category,Topic,ML Insights Score
Future(futureplc.com),cloud,cloud architect,89
Future(futureplc.com),training & development,resource management,62
GXS(gxs.com),it management,saas operations management,85
Gardiner & Theobald Llp(gardiner.com),it management,saas operations management,98
Gartner(gartner.com),it management,saas operations management,87
Genisys Group(genisys-group.com),operations,erp transformation,91
Gensler(gensler.com),training & development,resource management,78
Gensler(gensler.com),it management,saas operations management,89
Getronics(getronics.com),software engineering,performance engineering,97
Gfk - An Niq Company(gfk.com),it management,saas operations management,98
Globaldata Plc(globaldata.com),it management,saas operations management,96
Globaldata Plc(globaldata.com),cloud,enterprise cloud,78
Globaldata Plc(globaldata.com),it management,technology design & architecture,93
Globant(globant.com),translation & language,localization project management,62
Globant(globant.com),enterprise,enterprise architecture,80
Globant(globant.com),business finance,financial management services,71
Globant(globant.com),it management,saas operations management,65
Google(google.com),business solutions,project management software,84
Google(google.com),product development & qa,project collaboration,84
Google(google.com),it management,saas operations management,73
Google(google.com),it management,on-premise applications,65
Google(google.com),performance,performance measurement,73
Google(google.com),product development & qa,project management,90
Graham Group(graham.co.uk),"budgeting, planning & strategy",resource tracking,82
Grant Thornton (Us)(grantthornton.com),it management,saas operations management,68
Grant Thornton (Us)(grantthornton.com),cloud,enterprise cloud,89
Grant Thornton (Us)(grantthornton.com),analytics & reporting,business intelligence,95
Halcrow(halcrow.com),cloud,enterprise cloud,98
Hcl Comnet Limited(hcl.com),"budgeting, planning & strategy",financial management,62
Hcl Comnet Limited(hcl.com),product development & qa,project management,73
Hcl Comnet Limited(hcl.com),it management,saas operations management,99
Hcl Comnet Limited(hcl.com),"budgeting, planning & strategy",lean project management,71
Hcl Comnet Limited(hcl.com),analytics & reporting,embedded business intelligence,91
Hcl Comnet Limited(hcl.com),it management,technology design & architecture,62
Hcl Comnet Limited(hcl.com),training & development,resource management,76
Hcl Comnet Limited(hcl.com),contracts,engineering procurement and construction (epc),78
Hcl Comnet Limited(hcl.com),performance,performance measurement,96
Hcl Comnet Limited(hcl.com),product development & qa,adaptive project management and reporting,73
Hcl Comnet Limited(hcl.com),"budgeting, planning & strategy",project planning,76
Hcl Comnet Limited(hcl.com),translation & language,localization project management,95
Hcltech(hcltech.com),software engineering,performance engineering,62
Hcltech(hcltech.com),performance,performance measurement,99
Hcltech(hcltech.com),"budgeting, planning & strategy",resource allocation,71
Heatherwick Studio(heatherwick.com),it management,saas operations management,68
Hexaware Technologies(hexaware.com),performance,performance management,87
Hexaware Technologies(hexaware.com),product development & qa,project collaboration,76
Hexaware Technologies(hexaware.com),it management,on-premise applications,84
Hexaware Technologies(hexaware.com),it management,saas operations management,96
Hexaware Technologies(hexaware.com),"budgeting, planning & strategy",project planning,78
Hexaware Technologies(hexaware.com),business solutions,project management software,87
Hexaware Technologies(hexaware.com),"budgeting, planning & strategy",resource allocation,98
Hexaware Technologies(hexaware.com),business solutions,saas management platform (smp),84
Hexaware Technologies(hexaware.com),"budgeting, planning & strategy",resource tracking,78
Hitachi Consulting(hitachiconsulting.com),business finance,financial management services,94
Hitachi Consulting(hitachiconsulting.com),business finance,project finance,82
Hitachi Consulting(hitachiconsulting.com),analytics & reporting,embedded business intelligence,91
Hitachi Consulting(hitachiconsulting.com),product development & qa,project collaboration,68
Hitachi Consulting(hitachiconsulting.com),cloud,enterprise cloud,93
Hitachi Consulting(hitachiconsulting.com),product development & qa,adaptive project management and reporting,76
Hitachi Consulting(hitachiconsulting.com),it management,saas operations management,71
"Hks, Inc.(hksinc.com)",it management,saas operations management,85
Hso(hso.co.uk),cloud,enterprise cloud,78
Hso(hso.co.uk),business solutions,project management software,98
Hu University Of Applied Sciences Utrecht (Hogeschool Utrecht)(hu.nl),cloud,enterprise cloud,80
Huron(huronconsultinggroup.com),it management,saas operations management,94
Hw Martin (Traffic Management) Limited(hwmartin.com),cloud,enterprise cloud,97
Iar(iar.com),it management,technology design & architecture,89
Iar(iar.com),cloud,enterprise cloud,62
Icon Plc(iconplc.com),contracts,engineering procurement and construction (epc),94
Icon Plc(iconplc.com),it management,saas operations management,73
Icon Plc(iconplc.com),cloud,cloud erp,80
Ideagen(ideagen.com),analytics & reporting,business intelligence,62
Ideagen(ideagen.com),cloud,enterprise cloud,93
Ideagen(ideagen.com),analytics & reporting,business intelligence platform,73
Ies Ltd.(iesve.com),it management,saas operations management,93
Ihs Markit(ihsmarkit.com),it management,saas operations management,90
Ihs Markit(ihsmarkit.com),cloud,enterprise cloud,65
Ihs Markit(ihsmarkit.com),business solutions,saas management platform (smp),71
Imec(imec-int.com),supply chain,distribution erp software,82
Imec(imec-int.com),cloud,enterprise cloud,73
Imec(imec-int.com),business solutions,project management software,78
Imec(imec-int.com),"budgeting, planning & strategy",resource tracking,90
Imec(imec-int.com),other,erp vendors,94
Imec(imec-int.com),product development & qa,project collaboration,97
Imec(imec-int.com),it management,saas operations management,76
Imec(imec-int.com),product development & qa,adaptive project management and reporting,62
Imec(imec-int.com),operations,erp transformation,96
Imperial College London(imperial.ac.uk),product development & qa,adaptive project management and reporting,87
Imperial College London(imperial.ac.uk),it management,saas operations management,65
Infinium(infinium.co.uk),it management,saas operations management,73
Informa(informa.com),"budgeting, planning & strategy",financial management,65
Infosys(infosys.com),it management,on-premise applications,62
Infosys(infosys.com),other,construction erp,68
Infosys(infosys.com),it management,saas operations management,98
Infosys(infosys.com),training & development,resource management,73
Instem(instem.com),it management,saas operations management,89
Institute For Energy Technology(ife.no),operations,erp transformation,68
Institute For Energy Technology(ife.no),cloud,enterprise cloud,65
International Institute For Strategic Studies(iiss.org),operations,erp transformation,78
International Institute For Strategic Studies(iiss.org),it management,saas operations management,68
Intertek(intertek.com),it management,saas operations management,100
